title,review_text,stars,url
Black Swan,"如果有一天，《黑天鹅》这部电影成为善良的妈妈们反对女儿学习芭蕾的经典教材，我丝毫不会感到奇怪。
    《黑天鹅》带来的是一个长达103分钟的噩梦，一个失败舞者的内心恐惧被导演极度放大，以对手指、身体、精神的持续摧残不断挑战观众的神经承受能力。紧张的呼吸，激烈的反应，淡漠的人际关系，没有任何爱意的性唤起，现实与幻境的反复转换，这些乏味的桥段如同一堵铁青色的水泥墙壁，撑起了一个追求所谓艺术成功的脆弱路径，却无法附着一个电影角色和电影观众都需要的丰满故事。令人痛苦的是，导演似乎很陶醉于在这面墙壁上一遍遍地划拉手指甲，以为观众受到了折磨就是成功。
     必须承认，导演是一个细节渲染的高手，同时也是一个让全局失控的惯犯。说到底，一个演员对舞台的看重与恐惧、对自我的体认与质疑，在一个普通观众那里并不难得到理解。现实社会中，每个人都有自己的舞台和属于自己的表演时刻，电影中的演员何尝不是电影之外的观众自己？但更因如此，这种心理紧张绝不能铺满整部影片。但现实是，娜塔莉波曼惊魂未定的表情让我们从头一直紧张到尾。观众没有时间去感受情感的累积，更感受不到情感的宣泄。从一开始，导演就把所有观众拎起来放到一根钢丝绳上，一站就是100多分钟，期间的主题只有一个，即：看一个抓狂的舞者如何把一堆观众同样折磨到抓狂。
     本来，女主角如何把纯洁的白天鹅与邪恶的黑天鹅融于一身——这还算是一个不错的戏中戏嵌套，但是，这在导演手下并没有得到真正相对应的刻画。在导演的镜头下，女主角单调贫瘠的生活背景本就不足以支撑她去完成那样一个多面的角色，但她却不幸的得到了它。我们看到是，一个偏执的舞指是如何用霸王硬上弓的猪油蒙了他那颗原本要去感知天赋的心。他貌似要给女主角一个证明自己的机会，但看上去更像是要证明他自己的判断。导演将其拧巴的“作男”思路，成功地演绎成一条自虐式的芭蕾“苦旅”（某国也有什么文化苦旅吧），它的作用不只是在银幕前推出了一个丑陋的“作女”，还大力消解了芭蕾在很多人心中的原有美感。
     不需多言——专业演技外加专业的舞姿，娜塔莉波曼作为一个演员的确成功了，但这整部《黑天鹅》并没有轻盈地飞起来，而是以一种极为沉重、痛苦的方式把观众带入了深渊。",1,https://movie.douban.com/review/4587577/
Black Swan,"娜塔莉的表演无可挑剔。这点我就不多说了，现在开始吐槽：

导演在拍摄舞蹈方面差了些，手上有着顶尖的舞蹈演员，有的芭蕾舞的场景的表现力反倒还不如花与爱丽丝最后的那段舞蹈，问题主要出在剪辑方面。另：导演给娜塔莉安排的角色也本可以更饱满一些而不至于这么脸谱化。

剧情本身太苍白了，故事本身只由一个演员的心理分裂过程撑起来，好在娜塔莉凭着自己精湛的演技和精致的五官救场,不然这部片子的评价会低得多。为了表现心理上冲突，编导采用极端激烈的情欲戏和血腥戏来渲染，并且频繁利用突如其来的声画效果营造惊悚恐怖之氛围对于我这种口味清淡的人来说也是不可忍受的。一惊一乍之余，影片并未真正实现优雅与暴力共存的“艺术分裂”，反而沦为“披着芭蕾舞外衣的惊悚片”，这不失为一种遗憾。

还是喜欢十岁的娜塔莉，当时的娜塔莉动作和表情的表现都是一流的，到了星战和V字仇杀队的时候变成是只会运用表情了，到了黑天鹅倒是慢慢地恢复了她十岁的水平
 
最后我想转载久石让的一段话：“一个创作人要保持一颗纯真的心。就好像作为一个成年人，看东西的时候不能常常有着理所当然的想法，反过来要不是令自己保持那种好奇与感动的心；创作人具备了这种特质，他的作品则然也会流露出这种气质与感觉来。” 这是音乐创作界的情况，不知道希望达到顶尖水平舞蹈演员们是不是也应该做到“保持一颗纯真的心”。

听说不少欧洲的芭蕾大师很厌恶这部影片，或许是因为影片中的那几位芭蕾舞者在品行方面让他们根本就不屑于承认自己和他们是同行吧，真是可惜了娜塔莉的演技和还算过得去的配乐",1,https://movie.douban.com/review/4755856/
Black Swan,"波特曼挺漂亮的，没话说。她在杀手不太冷里演小女孩的时候就很漂亮，演星战的时候也很漂亮。

老实讲，这部电影我觉得她演出难度实在不大。也许是故事的原因，故弄玄虚的一招鲜，把心理分裂的幻想和现实混在一起演，但是技术门槛太低，构不成悬念。

美国人还是别染指这些了，不要努力做所谓的文艺片、艺术片。奸诈的、唯利是图的犹太制片人控制了整个好莱坞，你就乖乖去搞色情凶杀加暴力的视觉特效大片得了。又没有宏大的视觉特效噱头，色情凶杀暴力成分在今天有浅薄到可怜（现在看个赤果果的A片都那么常见，你还搞遮遮掩掩的“色情”，以为能吊人胃口？），最后出个小怪物。大概这就是白痴主流美国观众能够看懂的悬念，所以给了它最高的奖项，这并不等于它情节真好。美剧的情节水准比美国电影要高太多。

总体来说，近于重复到乏味的主题，重复到乏味的表达方式，貌似“纠结伦理”，实在不够娱乐性。看电影主要图个什么？当然是图个轻松热闹。谁在乎楼下邻居养了一个疯女儿这么简单一件事。",1,https://movie.douban.com/review/4843187/
Black Swan,"评价电影的标准第一位的永远要是“好看”，如果是那种看不太下去的咬着呀坚持看还一边期望总有点什么能抓住你但是到最后什么也没有的，完了再看一遍顺便列出几十个情节进行专业理论分析写评论的电影，我觉得不能算是一部好电影。
黑天鹅想拍成一部特别的艺术片，包含狠多隐喻，还玩了一点小惊悚，小悬念。但是所有这些元素导演都并没能把握好，整部电影的风格阴郁诡异，作为传统艺术电影的话明显口味过重用力过猛，但是考虑惊悚悬疑元素作为惊悚片看的话又比传统的惊悚片不给力。也许这是导演想要达到的一个状态，毕竟之前很少有挂高雅艺术题材名头的电影是拍成这德行的，但还是那句话，控制不来，两头挨不上，不好看。
片中波特曼的表演可以明显感觉非常使劲的想演好，但导演提供的方向已经错了，所以今年的奥斯卡不知道在搞啥(当年的海伦米兰啥水平比比就知道了)。演员的表演，无论演好人坏人英雄流氓神经变态，都有一个主旨，就是真实自然，可惜波特曼在本片中的表演，和导演一样/或者是被导演引导为：绷得很，一边绷着还一边用力演，这状态完全自然不起来。。。",1,https://movie.douban.com/review/4812350/
Black Swan,血腥、性幻想、女同、精神病、自虐狂。跳个舞整的这么纠结，好好的马蒂尔德瘦得跟个骷髅架子，还整天绷个驴脸，以泪洗面，让人怎么看怎么难受。真没看出哪好。,1,https://movie.douban.com/review/4986534/
Black Swan,我认为一部出色的电影不应该让人在观看时和观看后在肉体和精神上都感到不快，《黑天鹅》完美的做到了这一点，我认识到当一个舞蹈学生即使入行前内心纯洁，但一旦面对刻薄的教练，勾心斗角的同行时，想再内心纯洁已经不肯了，要么内心肮脏，要么内心崩溃走上精神病之路。观众看舞台剧时如果知道演员都是这样的人那还看的下去吗？,1,https://movie.douban.com/review/7486600/
Black Swan,"搞得神神秘秘的，看得揪心死了，该干嘛的时候不干嘛。
向豆瓣装逼青年竖起中指。
向各种装逼解读竖起中指。",1,https://movie.douban.com/review/5667381/
Black Swan,"nina到底是真实的人还是lily想象出来的
lily的压力源自于哪里？
lily的母亲没有逼她
这是职业压力吗
一个人在做自己力所不能及的事所造成的压力吗？
这就是电影的核心吗？
一个演员因为职业的压力，所产生的幻觉？",1,https://movie.douban.com/review/4600252/
Black Swan,"我评一星，可能不是因为它真的只值一星。但我要用我的一星将这部片的分数降下来。
现在的电影好像主角不得点精神分裂之类的怪病就没法演了。",1,https://movie.douban.com/review/5047052/
Black Swan,"如果有比很差更差的打分栏，请联系我。

苍白的表演，故弄玄虚的伪悬疑、伪色情、伪暴力。这就是奥斯卡影后、最佳导演提名。

现实中，影后波特曼生的孽种据说发源于阿伦诺夫斯基那没有包皮的jj。他们都是犹猪，米纳库尼斯、维诺拉赖德一班也都是犹猪。他们的坏事都能讹传为好事，绝对化腐朽为神奇。imdb的股东里也大多是犹猪。他们的势力无处不在，无孔不入。不要以为美国没有水军。美国除了犹猪，更有一班捧犹猪臭脚的中产阶级和即将依附于犹猪既得利益集团的年轻人，他们的人口庞大，且比我们的五毛专业。

我花了很多时间研究这些影人的种族来历，现在基本清楚。只要是编导和主演有三分之一以上犹猪的片子，我都不进影院送钱。坐等网上高清或d版，他们只值这个价。可是知道这是自欺欺人：哪个片厂老板不是犹猪呢。

这个问题跟同胞们也说不清。还当是我在刻意诋毁。噫，同予者何人？",1,https://movie.douban.com/review/6656148/
